name,address,city,st_pr,country,contact_email,website_url,twitter_handle,hours,weeks,tuition,primary_language,tag_list,notes
CodeCore Bootcamp,#160-422 Richards St.,Vancouver,ON,Canada,info@codecore.ca,http://codecore.ca,@CodeCoreYVR,320,8,12000,Ruby on Rails,"HTML, CSS, Ruby on Rails, Javascript, jQuery, UX, UI, Agile, APIs, Architecture",
Lighthouse,92 Water Street,Vancouver,BC,Canada,,lighthouselabs.ca,@lighthouse_labs,480,12,7000,Ruby on Rails,"HTML, CSS, Javascript, Node.js, TDD",
Bitmaker Labs,20 Duncan St ,Toronto,ON,Canada,contact@bitmakerlabs.com,http://bitmakerlabs.com/,@bitmakerlabs,360,9,9000,Ruby on Rails,"HTML, CSS, Ruby, JavaScript, jQuery, AJAX, Ruby on Rails, Git, TDD ",
HackerYou,"720 Bathurst Street, Suite 500",Toronto,ON,Canada,info@hackeryou.com,http://www.hackeryou.com/,@thisishackeryou,360,9,6500,Javascript,"HTML, CSS, jQuery, Wordpress Theme Dev, Design Theory",
Code Fellows,South Lake Union,Seattle,WA,USA,hello@codefellows.org,http://www.codefellows.org,@CodeFellowsOrg,160,4,5000,Ruby on Rails,"Ruby on Rails, Python, JavaScript, iOS",
Hackbright Academy,683 Sutter Street,San Francisco,CA,USA,d@hackbrightacademy.com,http://www.hackbrightacademy.com,@hackbright,400,10,12000,Python,,
Zipfian Academy,683 Sutter Street,San Francisco,CA,USA,jonathan@zipfianacademy.com,http://zipfianacademy.com,@ZipfianAcademy,480,12,14400,Python,"Python, R, UNIX",
Dev Bootcamp,717 California Street Suite 200,San Francisco,CA,USA,hello@devbootcamp.com,http://www.devbootcamp.com,@devbootcamp,360,9,12200,Ruby on Rails,"HTML, CSS, Javasript, jQuery, SASS, HAML, AJAX, Ruby",
Hack Reactor,"944 Market Street, 8th Floor",San Francisco,CA,USA,contact@hackreactor.com,http://hackreactor.com/,@HackReactor,480,12,17780,Javascript,"Backbone.js, Node.js, Ruby on Rails",
DevPoint Labs,150 S. State Street,Salt Lake City,UT,USA,contact@devpointlabs.com,http://devpointlabs.com,@DevPointLabs,440,11,7000,Ruby on Rails,"HTML, CSS, Ruby, Javascript, TDD, Git",
Portland Code School,,Portland,OR,USA,info@portlandschool.com,http://portlandcodeschool.com,@PDXCodeSchool,480,12,7500,Ruby on Rails,,
Epicodus,,Portland,OR,USA,hi@epicodus.com,http://epicodus.com,@epicodus,160,4,2400,Ruby on Rails,"HTML, CSS, jQuery, Ruby, PostgreSQL, Active Record, APIs, AJAX, Emper,js",
Devatory,"700 Commerce Drive, Suite 500",Oak Brook,IL,USA,hello@devatory.com,http://devatory.com,@devatory,400,10,8000,Javascript,"HTML, CSS, Javascript, jQuery, Node.js, ASP.net",
Flatiron School,"33 West 26th Street, 2nd Floor",New York City,NY,USA,info@flatironschool.com,http://www.flatironschool.com,@FlatironSchool,480,12,12000,Ruby on Rails,,
App Academy,770 Broadway,New York City,NY,USA,contact@appacademy.io,http://www.appacademy.io/#p-home,@appacademyio,360,9,0,Ruby on Rails,"HTML, CSS, Git, Postgres, Ruby, jQuery, Javascript",takes 18% of starting salary
Fullstack Academy,160 Pearl St,New York,NY,USA,hello@fullstackacademy.com,http://fullstackacademy.com,@fullstack,480,12,12000,Ruby on Rails,"HTML, CSS, Ruby,",
TheCodEd,"500 Seventh Avenue, 17th floor",New York,NY,USA,m@thecoded.com,http://thecoded.com,@tweetCoded,480,12,0,PHP,"HTML, PHP, JS, iOS, Android",
Thinkful,902 Broadway,New York,NY,USA,hello@thinkful.com,www.thinkful.com,thinkful,480,12,1000,Python,"HTML, CSS, Javascript, Ruby, Git, Flask, Nose, Behave, SQL, SQLAlchemy",
Nashville Software School,315 Tenth Avenue North,Nashville,TN,USA,,http://nashvillesoftwareschool.com,@nashsoftware,480,12,1000,Ruby on Rails,"HTML, CSS, Node.js, AJAX, Coffeescript, jQuery, Wordpress, Ruby, Sinatra",
Coding Dojo,,Mountain View,CA,USA,info@codingdojo.co,http://codingdojo.co,@codingdojodotco,360,9,8750,"PHP, Ruby on Rails",,
10x,,Modiin,-,Israel,udi@10x.org.il,http://10x.org.il,@10x_org_il,480,12,3215,Python,,
Makers Academy,25 City Road,London,-,UK,contact@makersacademy.com,http://makersacademy.com,@makersacademy,480,12,12778,Ruby on Rails,"Ruby on Rails, Javascript, HTML, CSS",
Disruption Institute,101 W 22nd St,Kansas City,MO,USA,,http://www.disruptioninstitute.com/,@disruptioninst ,480,12,6000,iOS,,
Coder Camps,"11200 Broadway Street, STE 2701",Houston,TX,USA,howdy@codercamps.com,http://codercamps.com,@codercamps,360,9,8900,.net,"Visual Studio Express, Javascript, HTML, CSS, C#, ASP, ",
gSchool,1062 Delaware Street,Denver,CO,USA,info@gschool.it,http://gschool.it/,@gSchool,960,24,20000,Ruby on Rails,"HTML, CSS, Git, Postgres, Ruby, jQuery, Javascript, AJAX, UX, ",
Mobile Makers Academy, 223 W. Erie Street,Chicago,IL,USA,hello@mobilemakers.co,http://www.mobilemakers.co,@theMobileMakers,320,8,7000,iOS,,
AIT Learning,14801 Murdock St. Suite 155,Chantilly,VA,USA,info@aitlearning.com,http://aitlearning.com,@aitlearning,320,8,9500,Ruby on Rails,"HTML, CSS, Ruby, Coffeescript, Javascript, AJAX",
Polycademy,,Canberra,-,Australia,enquiry@polyacademy.com,http://polyacademy.com,@polyacademy,440,11,4999,PHP,,
