name,address,city,st_pr,country,contact_email,website_url,twitter_handle,weeks,hours_per_week,hours,tuition,primary_language,tag_list,description
Launch Academy,"33 Harrison Avenue, Suite 501",Boston,MA,USA,admissions@launchacademy.com,http://www.launchacademy.com,@LaunchAcademy_ ,10,60,600,10000,Ruby on Rails,"HTML, CSS, Javascript, Ruby","Launch Academy is an immersive, 10-week, on location software development apprenticeship program that graduates and places junior web developers specialized in Ruby on Rails.
 
We start you on your path to success via an 8-week interactive pre-learning program before you even arrive on-site. Following the 10-week on-site program we provide 6-months of Post-Grad Support to assure your continued upward trend in your new career (you wouldn’t walk a tight-rope the first time without a net… would you?).
 
Launchers work on real projects provided by real companies seeking talent around the world. The conversation with these companies starts sooner and is more genuine as it revolves around technology, not recruiting. We don’t limit you to a small set of companies that benefit us. Rather, we provide many introductions and resources to align the best fit for you. We remove the transactional nature of the introduction so you can build relationships without monetary related impediments.
 
Be part of a 10 week, intensive program transforming eager learners into rising stars within the web development community. Learn web development with Ruby On Rails by building real software under the guidance of well-established and influential software developers. Leverage our mentors and fellow students to accelerate your learning in a dynamic top-tier learning environment."
Hack Reactor,"944 Market Street, 8th Floor",San Francisco,CA,USA,contact@hackreactor.com,http://hackreactor.com/,@HackReactor,12,70,840,17780,Javascript,"Backbone.js, Node.js, Ruby on Rails"," Hack Reactor (formerly Catalyst) is a new front-end developer training program in San Francisco. Learn JavaScript, HTML, CSS, and more during 800 hours of classroom instruction, projects, and hands-on learning. Hack Reactor is in San Francisco, the heart of the web’s golden age."
MakerSquare,716 Congress Ave,Austin,TX,USA,hello@themakersquare.com,www.themakersquare.com,@MakerSquare ,10,60,600,10200,Ruby on Rails,"Ruby, JavaScript, HTML, CSS",We start you on your path to success via an 8-week interactive pre-learning program before you even arrive on-site. Following the 10-week on-site program we provide 6-months of Post-Grad Support to assure your continued upward trend in your new career (you wouldn’t walk a tight-rope the first time without a net… would you?).
Thinkful,902 Broadway,New York,NY,USA,hello@thinkful.com,www.thinkful.com,,12,10,120,1500,Python,"HTML, CSS, Javascript, Ruby, Git, Flask, Nose, Behave, SQL, SQLAlchemy"," We believe that the best way to learn is through apprenticeship. We provide curricula to structure your learning and mentorship to accelerate it. That combination – self-directed, online learning and frequent, one-on-one help – sets Thinkful apart.

You can’t raise your hand for a question during an online tutorial or video. With Thinkful, we're there to help.

Thinkful students spend most of their time building because we believe that's the best way to learn. If you come with projects you want to work on, we'll fit them into the curriculum; otherwise, we'll help you find ideas you're excited about."
Dev Bootcamp,717 California Street Suite 200,San Francisco,CA,USA,hello@devbootcamp.com,http://www.devbootcamp.com,@devbootcamp,9,12,108,12200,Ruby on Rails,"HTML, CSS, Javasript, jQuery, SASS, HAML, AJAX, Ruby","Launchers work on real projects provided by real companies seeking talent around the world. The conversation with these companies starts sooner and is more genuine as it revolves around technology, not recruiting. We don’t limit you to a small set of companies that benefit us. Rather, we provide many introductions and resources to align the best fit for you. We remove the transactional nature of the introduction so you can build relationships without monetary related impediments."
App Academy,770 Broadway,New York City,NY,USA,contact@appacademy.io,http://www.appacademy.io/#p-home,@appacademyio,9,80,720,18% of starting salary,Ruby on Rails,"HTML, CSS, Git, Postgres, Ruby, jQuery, Javascript"," App Academy is an intensive, full-time, web development boot camp in San Francisco. Over nine weeks, you’ll learn all the skills needed to begin a career as a web developer. Through hands-on projects, we train you to build modern Ruby on Rails web applications. Programming experience isn't required; you will need lots of tenacity and a passion for building cool stuff."
gSchool,1062 Delaware Street,Denver,CO,USA,info@gschool.it,http://gschool.it/,@gSchool,24,80,1920,20000,"Ruby on Rails, JavaScript","HTML, CSS, Git, Postgres, Ruby, jQuery, Javascript, AJAX, UX, ","gSchool is an intensive, six-month programming boot camp in Denver, CO turning novices into skilled Ruby on Rails web developers. When you graduate, you’ll be ready to get an awesome job or build your own products. This school will help you find an offer as a full-time developer earning at least $60K in CO or the western region within 3 months of graduation — or they’ll refund 100% of your tuition. Guaranteed."
Starter School,222 W Merchandise Mart Plaza,Chicago,IL,USA,hello@starterschool.com,http://www.starterschool.com/program,@starterschool,36,48,1728,33000,Create a Software Start Up,"HTML, CSS, Ruby, Javascript, Ruby on Rails, UX, Git","The Starter League is a 11-week programming boot camp in Chicago, IL that teaches people how to build web applications. The Starter League creates the best on-site learning environment for people who want to learn how to build web applications. The boot camp takes people from knowing little to nothing about software development to being able to build a web application in 3 months. While providing top-notch instruction and mentorship from the best developers Chicago has to offer, The Starter League also empowers students through a network of Chicago’s best entrepreneurs, investors, and companies to help people make their ideas real on the web."
General Assembly,,"Berlin, Boston, Hong Kong, London, London (east), Los Angeles, NYC (east), NYC (west), San Francisco, Sydney, Washington D.C.",,,hello@generalassemb.ly,http://www.generalassemb.ly,@GA,12,60,720,11500,"Ruby on Rails, JavaScript","HTML, CSS, Ruby, UX, Wordpress, InDesign, iOS, Android, SQL","General Assembly is a New York-based global network of campuses for individuals seeking opportunity and education in technology, business, and design. It offers 12 weeks Ruby on Rails and JavaScript programming boot camp in San Francisco, CA. Learn the skills of an entry-level web developer, then learn how to put them to work.

Build a work-ready skill set and fluency in full stack web development. Develop a portfolio of projects individually and in small teams that are ready to present to employers. Prepare for an internship or entry-level job as a junior web developer.

See their website for a full list of locations."
Polycademy,,Canberra,,Australia,enquiry@polyacademy.com,http://polyacademy.com,@polyacademy,11,40,440,4999,PHP,,"Australia-based Polycademy is an academy for web application entrepreneurship. We turn ideas into reality. We help aspiring tech entrepreneurs and people looking to change their career, to build their dream app by teaching them how to do it in 11 or 21 weeks.

We’re the first organisation in Australia that provides full stack education from web design, front end development to back end development. We also help integrate the students with mentors in business and software development fields.

Students in Polycademy don’t come out with a certificate, but with an actual live usable product. You are meant to have an idea for something you want to build, and our courses are catered towards this kind of purposeful learning. Why learn to code if you’re not trying to solve a problem?

We’re also integrated with Code for Australia (http://codeforaustralia.com.au) and PHP Bounce (http://phpbounce.aws.af.cm)"
